,smiles,ChEMBL_ID,SUM,withdrawn_0.5,withdrawn_1.0,withdrawn_1.5,withdrawn_2.0,withdrawn_2.5,withdrawn_3.0,standardized_smiles,scaffolds
124,C(=O)(OCC)C1(c2ccccc2)CCN(CCc3ccc(cc3)N)CC1,CHEMBL1201347,0.5,1,0,0,0,0,0,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,CCCC(C)C1(C2CCCCC2)CCC(CCC2CCC(C)CC2)CC1
125,O=C1c2c(C(=O)C1c3ccc(OC)cc3)cccc2,CHEMBL712,0.5,1,0,0,0,0,0,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,CCC1CCC(C2C(C)C3CCCCC3C2C)CC1
126,C(=O)(OC1CC2[N+](C(C1)CC2)(C)C)C(CCC)CCC,CHEMBL1578,0.5,1,0,0,0,0,0,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C,CCCC(CCC)C(C)CC1CC2CCC(C1)C2(C)C
127,N(c1ccccc1)(CC2=NCCN2)Cc3ccccc3,CHEMBL1305,0.5,1,0,0,0,0,0,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,C1CCC(CC(CC2CCCC2)C2CCCCC2)CC1
128,O=C1c2c(O)cccc2Cc3c1c(O)ccc3,CHEMBL46469,0.0,0,0,0,0,0,0,O=C1c2c(O)cccc2Cc2cccc(O)c21,CC1CCCC2CC3CCCC(C)C3C(C)C12
129,O=C1N(c2ccccc2)N(C(=C1)C)C,CHEMBL277474,0.0,0,0,0,0,0,0,Cc1cc(=O)n(-c2ccccc2)n1C,CC1CC(C)C(C2CCCCC2)C1C
130,C(=O)(OCCN1CCN(c2cc(C(F)(F)F)ccc2)CC1)c3c(Nc4c5c(ncc4)cc(C(F)(F)F)cc5)cccc3,CHEMBL345524,2.0,1,1,1,1,0,0,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,CC(CCCC1CCC(C2CCCC(C(C)(C)C)C2)CC1)C1CCCCC1CC1CCCC2CC(C(C)(C)C)CCC12
131,C(#N)c1c(C(F)(F)F)cc(N2C(=O)C3(N(C2=S)c4cc(F)c(C(=O)NC)cc4)CCC3)cn1,CHEMBL3183409,0.0,0,0,0,0,0,0,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,CCC(C)C1CCC(C2C(C)C(C3CCC(CC)C(C(C)(C)C)C3)C(C)C23CCC3)CC1C
132,C(=O)(c1c2c(C(=O)N(c3ccc(N4C(=O)CCCC4)cc3)CC2)n(-c5ccc(OC)cc5)n1)N,CHEMBL231779,0.0,0,0,0,0,0,0,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,CCC1CCC(C2CC(C(C)C)C3CCC(C4CCC(C5CCCCC5C)CC4)C(C)C23)CC1
133,c12c(c(O)ccc1C[C@@H]3c4c-2cccc4CCN3C)O,CHEMBL53,0.0,0,0,0,0,0,0,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CC1CCC2CC3C(C)CCC4CCCC(C2C1C)C43
