,atc_code,chembl_id
648,H02AA03,CHEMBL1200592
649,V08AC01,CHEMBL1615487
650,H03BA03,CHEMBL1491306
651,N05AD02,CHEMBL15023
652,M01AX04,CHEMBL1565476
653,A03AB14,CHEMBL1619528
654,J01CA15,CHEMBL1619785
655,A03AA30,CHEMBL1623992
656,D01AC12,CHEMBL1651990
657,G01AF12,CHEMBL1651990
658,P02BB01,CHEMBL167150
659,G01AF06,CHEMBL1449676
660,P01AB03,CHEMBL1449676
661,J01XD03,CHEMBL1449676
662,N04BC08,CHEMBL1371770
663,P03AC03,CHEMBL1322884
664,P03AC53,CHEMBL1322884
665,J04BA01,CHEMBL1292
666,N06AA13,CHEMBL126224
667,B01AC03,CHEMBL1257015
668,J01FA13,CHEMBL1237072
669,B05CX01,CHEMBL1222250
670,C05BB56,CHEMBL1222250
671,V06DC01,CHEMBL1222250
672,V04CA02,CHEMBL1222250
673,V04CX01,CHEMBL1201304
674,P01AB06,CHEMBL435966
675,L01BB05,CHEMBL1096882
676,R01AD07,CHEMBL2107112
677,R01AD57,CHEMBL2107112
678,A07EA05,CHEMBL2107112
679,B01AA08,CHEMBL2106261
680,G03DB03,CHEMBL2106825
681,R02AB03,CHEMBL2109188
682,R06AA06,CHEMBL2110774
683,D04AA34,CHEMBL2110774
684,R06AA56,CHEMBL2110774
685,J05AP03,CHEMBL218394
686,M01CB04,CHEMBL2354773
687,D07AC05,CHEMBL251634
688,H02AB03,CHEMBL251634
689,C05AA08,CHEMBL251634
690,D07XC05,CHEMBL251634
691,B01AC01,CHEMBL2104306
692,B02BX02,CHEMBL2051960
693,C07AA01,CHEMBL266195
694,C03AA02,CHEMBL1763
695,C03AH02,CHEMBL1763
696,C01DX05,CHEMBL163672
697,V08AC02,CHEMBL1651905
698,V03AF02,CHEMBL1738
699,N06AB09,CHEMBL1743259
700,A02BA02,CHEMBL1790041
701,N04AA08,CHEMBL1908364
702,R05CB04,CHEMBL1885437
703,V08DA03,CHEMBL1899801
704,G02AD03,CHEMBL1908315
705,N05AX11,CHEMBL285802
706,A06AD15,CHEMBL457299
707,A06AD65,CHEMBL457299
708,N05AF03,CHEMBL908
709,N06BA06,CHEMBL7010
710,D11AX16,CHEMBL830
711,P01CX03,CHEMBL830
712,N03AB04,CHEMBL861
713,N03AB54,CHEMBL861
714,V08AC06,CHEMBL867
715,C01CA01,CHEMBL86882
716,C01CA51,CHEMBL86882
717,N06AF06,CHEMBL91238
718,N05CM08,CHEMBL591
719,N06AF05,CHEMBL92401
720,N06BX17,CHEMBL93077
721,N06DA01,CHEMBL95
722,N05BA13,CHEMBL970
723,D01AE07,CHEMBL607710
724,M01AX17,CHEMBL56367
725,M02AA26,CHEMBL56367
726,N06AX09,CHEMBL306700
727,D06BB09,CHEMBL318153
728,J01DB11,CHEMBL3186538
729,R01AA02,CHEMBL329203
730,M05BX03,CHEMBL3707306
731,A03BB04,CHEMBL3989849
732,N05AF01,CHEMBL54661
733,N03AA30,CHEMBL450
734,D07AC06,CHEMBL509924
735,D07XC04,CHEMBL509924
736,J01DD07,CHEMBL528
737,A10BB04,CHEMBL529888
738,S01EB07,CHEMBL1025
739,N06AA07,CHEMBL87708
740,R03AC05,CHEMBL88055
741,A16AA06,CHEMBL95889
742,C08EA02,CHEMBL1008
743,C04AC03,CHEMBL1094982
744,N06BX18,CHEMBL71752
745,A01AD07,CHEMBL1096
746,R03DX01,CHEMBL1096
747,G03BA03,CHEMBL1170
748,C04AA01,CHEMBL1197051
749,V04CK03,CHEMBL1200368
750,A14AB02,CHEMBL1200623
751,R06AD07,CHEMBL73451
752,P03AB02,CHEMBL15891
